Albumn,Artist,Release date,Genre,Label,Meta_Score
Last Young Renegade,All Time Low,Jun 2 2017,['Alternative/Indie Rock'],['Atlantic'],82
Two Parts Viper,'68,Jun 2 2017,['Pop/Rock'],['Cooking Vinyl'],92
Life is Good,Flogging Molly,Jun 2 2017,['Pop/Rock'],['Vanguard'],61
Prayer for Peace,North Mississippi Allstars,Jun 2 2017,['Pop/Rock'],['Sony Legacy'],80
Theory of Colours,Dauwd,Jun 2 2017,['Electronic'],['Technicolour'],85
Journey to the Mountain of Forever,Binker & Moses,Jun 2 2017,['Jazz'],['Gearbox'],80
Kids In The Street,Justin Townes Earle,May 26 2017,['Singer-Songwriter'],['New West Records'],78
Different Days,The Charlatans UK,May 26 2017,['Pop/Rock'],['BMG'],74
The Following Mountain,Sam Amidon,May 26 2017,['Folk'],['Nonesuch'],73
Diversions Vol. 4: The Songs and Poems of Molly Drake,The Unthanks,May 26 2017,['Folk'],['Rabble Rouser Records'],81
The Amazons,The Amazons,May 26 2017,['Pop/Rock'],['Caroline'],64
A  World of Masks,The Heliocentrics,May 26 2017,['Electronic'],['Soundway'],79
Resin Pockets,Crescent,May 26 2017,['Pop/Rock'],['Geographic'],79
Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition Deluxe Version],The Beatles,May 26 2017,['Hard Rock'],['Capitol'],100
Black Laden Crown,Danzig,May 26 2017,['Pop/Rock'],['Nuclear Blast'],61
Leftism 22 [Reissue],Leftfield,May 26 2017,['Electronic'],['Sony Music'],89
Teenage Emotions,Lil Yachty,May 26 2017,['Rap'],['Universal Music'],63
DropTopWop [Mixtape],Gucci Mane,May 26 2017,['Rap'],['Atlantic'],72
True to Self,Bryson Tiller,May 26 2017,['R&B'],['RCA'],63
Outside the Echo Chamber,Coldcut,May 26 2017,['Electronic'],['Ahead of Our Time'],81
"Truth, Liberty & Soul: Live in NYC: The Complete 1982 NPR Jazz Alive! Recording",Jaco Pastorius,May 26 2017,['Jazz'],['Resonance'],85
Small Town [Live],Bill Frisell,May 26 2017,['Jazz'],['ECM'],79
World Be Gone,Erasure,May 19 2017,['Electronica'],['Mute'],69
Spin,Tigers Jaw,May 19 2017,['Pop/Rock'],['Atlantic'],69
Singles [Original Motion Picture Soundtrack] [Deluxe Edition],Various Artists,May 19 2017,['Soundtrack'],['Sony Legacy'],93
Modern Kosmology,Jane Weaver,May 19 2017,['Pop/Rock'],['Fire Records'],84
Goths,The Mountain Goats,May 19 2017,['Pop/Rock'],['Merge'],83
You're Welcome,Wavves,May 19 2017,['Pop/Rock'],['Ghost Ramp'],71
Manic Revelations,Pokey LaFarge,May 19 2017,['Country'],['Rounder'],80
Life After Youth,Land of Talk,May 19 2017,['Pop/Rock'],['Saddle Creek Records'],79
Rocket,(Sandy) Alex G,May 19 2017,['Pop/Rock'],['Domino'],82
One More Light,Linkin Park,May 19 2017,['Pop/Rock'],['Warner Bros.'],46
Stubborn Persistent Illusions,Do Make Say Think,May 19 2017,['Pop/Rock'],['Constellation'],83
Green Twins,Nick Hakim,May 19 2017,['R&B'],['ATO'],81
Black Origami,Jlin,May 19 2017,['Electronic'],['Planet Mu'],89
Party,Aldous Harding,May 19 2017,['Pop/Rock'],['4AD'],83
"Dirty Pictures, Pt. 1",Low Cut Connie,May 19 2017,['Pop/Rock'],['Contender Records'],79
Shake the Shudder,!!! [Chik Chik Chik],May 19 2017,['Pop/Rock'],['Warp'],65
The Witch,Pumarosa,May 19 2017,['Pop/Rock'],['Harvest Records'],84
The King & I,Faith Evans and the Notorious B.I.G.,May 19 2017,['R&B'],['Rhino'],48
Soulfire,Little Steven,May 19 2017,['Pop/Rock'],['Universal'],74
She-Devils,She-Devils,May 19 2017,['Pop/Rock'],['Secretly Canadian'],71
The Cure,Stevie Parker,May 19 2017,['Pop/Rock'],['Virgin EMI'],71
Stop Mute Defeat,White Hills,May 19 2017,['Pop/Rock'],['Thrill Jockey'],80
Move Upstairs,The Como Mamas,May 19 2017,['Gospel'],['Daptone'],81
1000 Can Die,King Ayisoba,May 19 2017,['International'],['Glitterbeat'],80
What's So Funny About Peace Love and Los Straitjackets,Los Straitjackets,May 19 2017,['Pop/Rock'],['Yep Roc'],79
BMX Bandits Forever,BMX Bandits,May 19 2017,['Pop/Rock'],['Elefant'],79
Sweet Kind of Blue,Emily Barker,May 19 2017,['Folk'],['Everyone Sang'],81
Play What They Want,Man Forever,May 19 2017,['Avant-Garde'],['Thrill Jockey'],81
Burials in Several Earths,Radiophonic Workshop,May 19 2017,['Electronic'],['Room 13'],72
Nektyr,Demen,May 19 2017,['Pop/Rock'],['Kranky'],83
Modern Pressure,Daniel Romano,May 19 2017,['Americana'],['New West'],70
Mogoya,Oumou Sangare,May 19 2017,['International'],['No Format'],86
Reaching Into Infinity,DragonForce,May 19 2017,['Pop/Rock'],['Metal Blade'],76
Neva Left,Snoop Dogg,May 19 2017,['Rap'],['Doggystyle'],71
"Luke Vibert Presents UK Garave, Vol. 1",Luke Vibert,May 19 2017,['Electronic'],['Hypercolour'],67
A Kind Revolution,Paul Weller,May 12 2017,['Pop/Rock'],"['Parlophone ', ' Warner Bros.']",86
Powerplant,Girlpool,May 12 2017,['Pop/Rock'],"['Anti ', ' Epitaph']",80
Super Natural,Jim Jones & The Righteous Mind,May 12 2017,['Pop/Rock'],[],84
Pageant,Pwr Bttm,May 12 2017,['Pop/Rock'],['Polyvinyl'],85
Rosewood Almanac,Will Stratton,May 12 2017,['Pop/Rock'],['Bella Union'],74
Dorothy,Diagrams,May 12 2017,['Pop/Rock'],['Bookshop Records'],78
II,L.A. Takedown,May 12 2017,['Pop/Rock'],['Ribbon Music'],69
White Knight,Todd Rundgren,May 12 2017,['Pop/Rock'],['Cleopatra'],66
Don't Give Up on Love,Don Bryant,May 12 2017,,['Fat Possum'],83
Harry Styles,Harry Styles,May 12 2017,['Pop/Rock'],['Columbia'],68
Welcome Home,Zac Brown Band,May 12 2017,['Country'],['Atlantic'],58
After Laughter,Paramore,May 12 2017,['Pop'],['Atlantic'],82
DREAMCAR,DREAMCAR,May 12 2017,['Pop/Rock'],['Columbia'],71
Common Sense,J Hus,May 12 2017,['Pop/Rock'],['Black Butter'],84
Endless Summer,Sóley,May 12 2017,['Pop/Rock'],['Morr Music'],79
The Bob's Burgers Music Album [Original Television Soundtrack],Original Soundtrack,May 12 2017,['Pop/Rock'],['Sub Pop'],77
Kickin Child: Lost Columbia Album 1965,Dion,May 12 2017,['Folk-Rock'],['Norton'],94
"Sing It High, Sing It Low: Tumbleweed Records 1971-1973",Various Artists,May 12 2017,['Singer/Songwriter'],['Light in the Attic Records'],77
Colter Wall,Colter Wall,May 12 2017,['Country'],['Thirty Tigers'],77
Bloom,Machine Gun Kelly,May 12 2017,['Rap'],['Interscope'],72
Pollinator,Blondie,May 5 2017,['Pop/Rock'],['BMG Rights Management'],71
The Weather,Pond,May 5 2017,['Pop/Rock'],['Marathon Artists'],80
in•ter a•li•a,At the Drive-In,May 5 2017,['Pop/Rock'],['Rise'],70
Satan's Graffiti or God's Art?,Black Lips,May 5 2017,['Pop/Rock'],['Vice'],71
In Spades,The Afghan Whigs,May 5 2017,['Pop/Rock'],['Sub Pop'],79
Slowdive,Slowdive,May 5 2017,['Pop/Rock'],['Dead Oceans Records'],82
No Shape,Perfume Genius,May 5 2017,['Pop/Rock'],['Matador'],84
This Old Dog,Mac DeMarco,May 5 2017,['Pop/Rock'],['Captured Tracks'],79
"Occult Architecture, Vol. 2",Moon Duo,May 5 2017,['Pop/Rock'],['Sacred Bones'],71
Best Troubador,"Bonnie ""Prince"" Billy",May 5 2017,['Pop/Rock'],['Drag City'],78
Joan Shelley,Joan Shelley,May 5 2017,['Pop/Rock'],['No Quarter'],82
For Crying Out Loud,Kasabian,May 5 2017,['Pop/Rock'],['Columbia'],70
Morningside,Fazerdaze,May 5 2017,['Pop/Rock'],['Flying Nun'],74
"From a Room, Vol. 1",Chris Stapleton,May 5 2017,['Country'],['Mercury Nashville'],81
I Can Spin a Rainbow,Amanda Palmer,May 5 2017,['Pop/Rock'],['Cooking Vinyl'],60
Big Bad Luv,John Moreland,May 5 2017,['Pop/Rock'],['4AD'],84
Compassion,Forest Swords,May 5 2017,['Electronic'],['Ninja Tune'],79
Afterglow,Ásgeir,May 5 2017,['Pop/Rock'],['Embassy of Music'],58
Halo,Juana Molina,May 5 2017,['Pop/Rock'],['Crammed Discs'],84
Graveyard Shift,Motionless in White,May 5 2017,['Pop/Rock'],['Roadrunner Records'],82
Versus,Carl Craig,May 5 2017,['Electronic'],['Infine'],78
Turn Up the Quiet,Diana Krall,May 5 2017,['Jazz'],['Verve'],71
"Lovely Creatures: The Best of Nick Cave and the Bad Seeds, 1984-2014 [Box Set]",Nick Cave & the Bad Seeds,May 5 2017,['Pop/Rock'],['Mute'],95
World Spirituality Classics 1: The Ecstatic Music of Alice Coltrane Turiyasangitananda,Alice Coltrane,May 5 2017,['Jazz'],['Luaka Bop'],84
Real High,Nite Jewel,May 5 2017,['Pop/Rock'],['Gloriette'],79
The Imperfect Sea,Penguin Cafe,May 5 2017,['Pop/Rock'],['Erased Tapes Records'],76
The Thin Black Duke,Oxbow,May 5 2017,['Pop/Rock'],['Hydra Head'],87
Routines,Hoops,May 5 2017,['Pop/Rock'],['Fat Possum'],77
Everybody,Logic,May 5 2017,['Rap'],['Def Jam'],65
All the Beauty in This Whole Life,Brother Ali,May 5 2017,['Rap'],['New Release'],80
I Can Feel the Night Around Me,Nightlands,May 5 2017,['Pop/Rock'],['Western Vinyl Records'],76
United States of Horror,Ho99o9,May 5 2017,['Pop/Rock'],"['999 Deathkult ', ' Toys Have Powers']",78
Clipper Ship,Wooden Wand,May 5 2017,['Pop/Rock'],['Three Lobed'],76
Big Walnuts Yonder,Big Walnuts Yonder,May 5 2017,['Experimental'],['Sargent House'],72
Fresh Air,Faust,May 5 2017,['Experimental'],['Bureau B'],76
Slow Vessels,Ian William Craig,May 5 2017,['Electronic'],['Fat Cat'],72
TajMo,Taj Mahal,May 5 2017,['Blues'],['Concord'],63
Esker,Bill MacKay,May 5 2017,['Blues'],['Drag City'],77
Pools of Light,Jessica Moss,May 5 2017,['Pop/Rock'],['Constellation'],78
Gargoyle,Mark Lanegan Band,Apr 28 2017,['Pop/Rock'],['Pias America'],83
Carrie & Lowell Live,Sufjan Stevens,Apr 28 2017,['Singer-Songwriter'],['Asthmatic Kitty Records'],91
Easy Machines,Bill Baird,Apr 28 2017,,['Talk Show Records'],84
1948-,L. Pierre,Apr 28 2017,,['Melodic'],56
Baby Blue Abyss,Bill Baird,Apr 28 2017,['Pop/Rock'],['Talk Show Records'],68
Volume 1,BNQT,Apr 28 2017,['Pop/Rock'],['Dualtone Music'],76
What Now,Sylvan Esso,Apr 28 2017,['Pop/Rock'],['Loma Vista Recordings'],75
Pleasure,Feist,Apr 28 2017,['Pop/Rock'],['Interscope'],80
Humanz,Gorillaz,Apr 28 2017,['Electronic'],['Warner Bros.'],77
Rock N Roll Consciousness,Thurston Moore,Apr 28 2017,['Pop/Rock'],['Caroline'],78
The Possum in the Driveway,Mark Mulcahy,Apr 28 2017,['Pop/Rock'],['Mezzotint'],75
async,Ryuichi Sakamoto,Apr 28 2017,['Electronic'],['Milan'],85
Visuals,Mew,Apr 28 2017,['Pop/Rock'],['PIAS'],74
All This I Do for Glory,Colin Stetson,Apr 28 2017,['Jazz'],['52hz'],80
Sad Clowns & Hillbillies,John Mellencamp,Apr 28 2017,['Pop/Rock'],['Island'],77
God's Problem Child,Willie Nelson,Apr 28 2017,['Country'],['Legacy'],79
Still Life,Little Cub,Apr 28 2017,['Pop/Rock'],['Domino'],77
Strength of a Woman,Mary J. Blige,Apr 28 2017,['R&B'],['Island'],74
Snow,The New Year,Apr 28 2017,['Pop/Rock'],['Undertow Music Collective'],79
I Go Missing in My Sleep,Wilsen,Apr 28 2017,['Alternative/Indie Rock'],['Secret City Records'],72
Makes Me Sick,New Found Glory,Apr 28 2017,['Pop/Rock'],['Hopeless Records'],67
Everything So Far,Pinegrove,Apr 28 2017,['Pop/Rock'],['Run for Cover Records'],74
Pussycat,Juliana Hatfield,Apr 28 2017,['Pop/Rock'],['American Laundromat Records'],84
The Walls Will Fall [EP],Terror,Apr 28 2017,['Pop/Rock'],['Pure Noise'],81
Untitled,WALL,Apr 28 2017,['Pop/Rock'],['Wharf Cat Records'],78
Shine,Wale,Apr 28 2017,['Rap'],['Atlantic'],65
Los Angeles Police Department,Los Angeles Police Department,Apr 28 2017,['Pop/Rock'],['Anti-'],80
Parking Lot Symphony,Trombone Shorty,Apr 28 2017,['Jazz'],['Blue Note'],70
Robert Cray & Hi Rhythm,Robert Cray,Apr 28 2017,['Blues'],['Jay Vee Records'],84
Be Myself,Sheryl Crow,Apr 21 2017,['Pop/Rock'],['Warner Bros.'],69
Narkopop,Gas,Apr 21 2017,['Electronic'],"['Kompakt ', ' Kompakt Germany']",86
Robyn Hitchcock,Robyn Hitchcock,Apr 21 2017,['Pop/Rock'],['Yep Roc'],80
Life. Love. Flesh. Blood,Imelda May,Apr 21 2017,['Pop/Rock'],['Verve'],73
Americana,Ray Davies,Apr 21 2017,['Pop/Rock'],['Legacy'],80
Wrangled,Angaleena Presley,Apr 21 2017,['Country'],['Thirty Tigers'],83
Electric Lines,Joe Goddard,Apr 21 2017,['Electronic'],['Domino'],71
Death Song,The Black Angels,Apr 21 2017,['Pop/Rock'],['Partisan'],75
Risk To Exist,Maxïmo Park,Apr 21 2017,['Pop/Rock'],['Cooking Vinyl'],67
2016 Atomized,The Raveonettes,Apr 21 2017,['Pop/Rock'],['Raveonettes'],79
Tara Jane O'Neil,Tara Jane O'Neil,Apr 21 2017,,['Gnomonsong'],82
The Last Rider,Ron Sexsmith,Apr 21 2017,['Adult Alternative Pop/Rock'],['Compass'],79
Love Is Love,Woods,Apr 21 2017,['Pop/Rock'],['Woodsist'],72
8,Incubus,Apr 21 2017,['Rap-Metal'],['Island'],45
You Are We,While She Sleeps,Apr 21 2017,['Pop/Rock'],['Relativity Entertainment'],84
Guppy,Charly Bliss,Apr 21 2017,['Pop/Rock'],['Barsuk'],87
Novum,Procol Harum,Apr 21 2017,['Pop/Rock'],['Eagle Rock'],69
Devout,Mr. Mitch,Apr 21 2017,['Electronic'],['Planet Mu'],74
Make the Best of It,Have Mercy,Apr 21 2017,,['Hopeless Records'],72
Jump on Board,Texas,Apr 21 2017,['Pop/Rock'],['BMG'],52
Love and War,Brad Paisley,Apr 21 2017,['Country'],['Arista'],66
Charlie Watts Meets the Danish Radio Big Band [Live],Charlie Watts,Apr 21 2017,['Jazz'],['Decca'],77
The Song of Day and Night,Edgar Jones,Apr 21 2017,['Pop/Rock'],['Skeleton Key Records'],77
Cuidado Madame,Arto Lindsay,Apr 21 2017,['Electronic'],['Northern Spy'],77
Season High,Little Dragon,Apr 14 2017,['Electronic'],['Loma Vista Recordings'],67
AZD,Actress,Apr 14 2017,['Electronic'],['Ninja Tune'],81
IV,Part Chimp,Apr 14 2017,['Pop/Rock'],['Rock Action'],81
Tenderheart,Sam Outlaw,Apr 14 2017,['Country'],['Thirty Tigers'],65
The Meetings of the Waters,Fionn Regan,Apr 14 2017,['Folk'],['Abbey Records'],78
DAMN.,Kendrick Lamar,Apr 14 2017,['Rap'],['Aftermath'],95
The Search for Everything,John Mayer,Apr 14 2017,['Pop/Rock'],['Columbia'],61
YOUTH,Tinie Tempah,Apr 14 2017,['Rap'],['Parlophone'],70
Waiting a Lifetime,Splashh,Apr 14 2017,['Pop/Rock'],['Cinematic Music Group'],74
At Saint Thomas the Apostle Harlem [Live],Diamanda Galás,Apr 14 2017,['Avant-Garde'],['Virtual Label'],82
Playboi Carti [Mixtape],Playboi Carti,Apr 14 2017,['Rap'],['Interscope'],69
Forever and Then Some,Lillie Mae,Apr 14 2017,['Country'],['Third Man Records'],80
That's Your Lot,Blaenavon,Apr 7 2017,['Pop/Rock'],"['Atlantic ', ' Canvasback']",80
Siberia,Vanbot,Apr 7 2017,['Electronic'],['Lisch Recordings'],67
Country Hustle,Jeb Loy Nichols,Apr 7 2017,['Country'],['Inkind'],81
The  Far Field,Future Islands,Apr 7 2017,['Alternative/Indie Rock'],['4AD'],77
Silver/Lead,Wire,Apr 7 2017,['Pop/Rock'],['Pink Flag'],77
The Moomins [OST],Graeme Miller,Apr 7 2017,['Soundtracks'],['Finders Keepers'],80
Pure Comedy,Father John Misty,Apr 7 2017,['Pop/Rock'],['Sub Pop'],85
Whiteout Conditions,The New Pornographers,Apr 7 2017,['Pop/Rock'],['Concord'],78
"Sincerely, Future Pollution",Timber Timbre,Apr 7 2017,['Pop/Rock'],['City Slang'],78
Swear I'm Good at This,Diet Cig,Apr 7 2017,['Pop/Rock'],['Frenchkiss Records'],79
Neuk Wight Delhi All-Stars,James Yorkston,Apr 7 2017,['Folk'],['Domino'],79
Hopeless Romantic,Michelle Branch,Apr 7 2017,['Pop/Rock'],['Verve'],72
Arca,Arca,Apr 7 2017,['Electronic'],['XL'],87
All-Amerikkkan Bada$$,Joey Bada$$,Apr 7 2017,['Rap'],['Cinematic Music Group'],75
August by Cake,Guided by Voices,Apr 7 2017,['Pop/Rock'],['Guided by Voices'],70
Adios,Cory Branan,Apr 7 2017,['Alt-Country'],['Bloodshot'],70
Canyons of My Mind,Andrew Combs,Apr 7 2017,['Country'],['New West'],83
Double Roses,Karen Elson,Apr 7 2017,['Pop/Rock'],['Hot Records'],72
Belladonna of Sadness,Alexandra Savior,Apr 7 2017,['Vocal'],['Columbia'],66
The  Assassination of Julius Caesar,Ulver,Apr 7 2017,['Pop/Rock'],['House of Mythology'],82
Fujiya & Miyagi,Fujiya & Miyagi,Apr 7 2017,['Pop/Rock'],['Impossible Objects of Desire'],72
Belong,San Fermin,Apr 7 2017,['Pop/Rock'],['Downtown'],73
Love in the 4th Dimension,The Big Moon,Apr 7 2017,['Pop/Rock'],['Fiction'],75
L.A. Divine,Cold War Kids,Apr 7 2017,['Pop/Rock'],['Capitol'],49
Write In,Happyness,Apr 7 2017,['Pop/Rock'],"['Bar', 'None Records']",78
Death Peak,Clark,Apr 7 2017,['Electronic'],['Warp'],78
The World's Best American Band,White Reaper,Apr 7 2017,['Pop/Rock'],['Polyvinyl'],79
Memories: Do Not Open,The Chainsmokers,Apr 7 2017,['Electronic'],['Sony Music'],43
Coming Home,Falling in Reverse,Apr 7 2017,['Alternative/Indie Rock'],['Epitaph'],67
More Scared of You than You Are of Me,The Smith Street Band,Apr 7 2017,['Pop/Rock'],['SideOneDummy'],87
Every Where Is Some Where,K.Flay,Apr 7 2017,['Pop/Rock'],['Interscope'],67
WYW,Wear Your Wounds,Apr 7 2017,['Pop/Rock'],['Deathwish'],85
Kidal,Tamikrest,Apr 7 2017,['International'],['Glitterbeat'],81
Wick,Royal Thunder,Apr 7 2017,['Pop/Rock'],['Spinefarm Records'],87
Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine,Gnod,Apr 7 2017,['Pop/Rock'],['Rocket Recordings'],78
Mandela Effect,Gonjasufi,Apr 7 2017,['Pop/Rock'],['Warp'],69
Thunder of the Gods,Sun Ra,Apr 7 2017,['Jazz'],['Relativity Entertainment'],77
Resistance Radio: The Man in the High Castle Album,Various Artists,Apr 7 2017,['Pop/Rock'],['Columbia'],62
Sacred,The Obsessed,Apr 7 2017,['Pop/Rock'],['Relapse Records'],77
Samba,Vieux Farka Touré,Apr 7 2017,['International'],['Six Degrees'],74
Into The Woods,Hawkwind,Apr 5 2017,['Pop/Rock'],['Cherry Red'],74
You Only Live 2wice,Freddie Gibbs,Mar 31 2017,['Rap'],['Empire'],76
Close Ties,Rodney Crowell,Mar 31 2017,['Country'],['New West Records'],86
A Hairshirt Of Purpose,Pile,Mar 31 2017,['Pop/Rock'],['Exploding In Sound'],87
Republique Amazone,Les Amazones d'Afrique,Mar 31 2017,['International'],['Real World'],79
Mental Illness,Aimee Mann,Mar 31 2017,['Pop/Rock'],['Superego'],84
Silver Eye,Goldfrapp,Mar 31 2017,['Electronic'],['Mute US'],74
Emperor of Sand,Mastodon,Mar 31 2017,['Pop/Rock'],['Reprise'],78
Tribute to Ndiouga Dieng,Orchestra Baobab,Mar 31 2017,['International'],['World Circuit'],79
In the Same Room,Julia Holter,Mar 31 2017,['Pop/Rock'],['Domino'],76
Triplicate,Bob Dylan,Mar 31 2017,['Folk'],['Columbia'],80
Contact,Pharmakon,Mar 31 2017,['Pop/Rock'],['Sacred Bones'],79
Darling of the Afterglow,Lydia Ainsworth,Mar 31 2017,['Pop/Rock'],['Arbutus Records'],75
Coco Hames,Coco Hames,Mar 31 2017,['Pop/Rock'],['Merge'],74
Star Stuff,Chaz Bundick,Mar 31 2017,['Pop/Rock'],['Company Records'],69
Let the Dancers Inherit the Party,British Sea Power,Mar 31 2017,['Pop/Rock'],"['Caroline ', ' Caroline International']",78
Automaton,Jamiroquai,Mar 31 2017,['R&B'],['Virgin EMI'],71
The Ride,Nelly Furtado,Mar 31 2017,['Pop/Rock'],['Eleven Seven'],64
A Common Truth,Saltland,Mar 31 2017,['Pop/Rock'],['Constellation'],84
Bloodlust,Body Count,Mar 31 2017,['Rap-Metal'],['Century Media'],64
What If,Hauschka,Mar 31 2017,['Experimental'],['Temporary Residence'],82
What in the Natural World,Jake Xerxes Fussell,Mar 31 2017,['Folk'],['Paradise of Bachelors'],87
Brand New Day,The Mavericks,Mar 31 2017,['Country'],"['Mono Mundo Recordings ', ' Relativity Entertainment ', ' Thirty Tigers']",78
Crawl Space,Tei Shi,Mar 31 2017,['Pop/Rock'],['Arts & Crafts'],80
It's a Myth,Sneaks,Mar 31 2017,['Pop/Rock'],['Merge'],79
Careless People,Charlotte OC,Mar 31 2017,['Pop'],['Polydor'],75
Abysma,Geotic,Mar 31 2017,['Electronic'],['Ghostly International'],63
Open Road,Dave Davies,Mar 31 2017,['Pop/Rock'],['Red River'],65
Damage and Joy,The Jesus and Mary Chain,Mar 24 2017,['Pop/Rock'],['EK OK'],70
Interplanetary Class Classics,The Moonlandingz,Mar 24 2017,['Pop/Rock'],['Transgressive'],85
We All Want the Same Things,Craig Finn,Mar 24 2017,['Pop/Rock'],['Partisan'],73
Doris & the Daggers,Spiral Stairs,Mar 24 2017,['Pop/Rock'],['Nine Mile Records'],74
"Eternity, In Your Arms",Creeper,Mar 24 2017,['Pop/Rock'],['Warner Bros.'],89
A Crow Looked at Me,Mount Eerie,Mar 24 2017,['Pop/Rock'],['P.W. Elverum & Sun Ltd.'],93
Kelly Lee Owens,Kelly Lee Owens,Mar 24 2017,['Electronic'],['Smalltown Supersound'],79
Sillion,Johnny Flynn,Mar 24 2017,['Pop/Rock'],['Transgressive'],74
Find Me Finding You,Laetitia Sadier Source Ensemble,Mar 24 2017,['Pop/Rock'],['Drag City'],81
Joy Comes Back,Ruthie Foster,Mar 24 2017,['Blues'],['Blue Corn Music'],76
Feel Infinite,Jacques Greene,Mar 24 2017,['Electronic'],['Arts & Crafts'],79
The Ghost of Hope,The Residents,Mar 24 2017,['Pop/Rock'],['Cryptic Corporation'],69
Look at the Powerful People,Formation,Mar 24 2017,['Pop/Rock'],['Warner Bros.'],66
Heartless,Pallbearer,Mar 24 2017,['Pop/Rock'],['Profound Lore'],82
Concrete Desert,The Bug,Mar 24 2017,['Electronic'],['Ninja Tune'],78
You Had Me at Goodbye,Samantha Crain,Mar 24 2017,['Pop/Rock'],['Ramseur Records'],72
From Deewee,Soulwax,Mar 24 2017,['Electronic'],['Play It Again Sam'],69
Grow Up,Desperate Journalist,Mar 24 2017,['Pop/Rock'],['Fierce Panda'],79
The Wild,Raekwon,Mar 24 2017,['Rap'],['Empire'],80
The Afterlove,James Blunt,Mar 24 2017,['Pop/Rock'],['Atlantic'],54
Undertow,Wolf Eyes,Mar 24 2017,['Pop/Rock'],['Lower Floor Music'],78
Brood X,Boss Hog,Mar 24 2017,['Pop/Rock'],['In the Red Records'],77
All the Way,Diamanda Galás,Mar 24 2017,['Pop/Rock'],['Virtual Label'],79
Sorcerer,Tonstartssbandht,Mar 24 2017,['Pop/Rock'],['Mexican Summer'],72
Build Music,Janka Nabay & the Bubu Gang,Mar 24 2017,['Pop/Rock'],['Luaka Bop'],64
Samurai,Joakim,Mar 24 2017,['Electronic'],['Because Music'],69
Song of the Rose,Arbouretum,Mar 24 2017,['Pop/Rock'],['Thrill Jockey'],79
Under the Pines,Bardo Pond,Mar 24 2017,['Pop/Rock'],['Fire Records'],77
At What Cost,GoldLink,Mar 24 2017,['Rap'],['RCA'],71
Untouchable,Cairo Gang,Mar 24 2017,['Pop/Rock'],['God'],81
8AM,Teengirl Fantasy,Mar 24 2017,['Electronic'],['Planet Mu'],68
From Where I Started,Sera Cahoone,Mar 24 2017,['Country'],['Lady Muleskinner Records'],81
The Psalms,Jessi Colter,Mar 24 2017,['Country'],['Legacy'],79
Epithymía,Anjou,Mar 24 2017,['Electronic'],['Kranky'],85
More Life [Mixtape],Drake,Mar 18 2017,['Rap'],['Young Money'],79
You're Not As _____ As You Think,Sorority Noise,Mar 17 2017,['Pop/Rock'],['Triple Crown Records'],81
Spirit,Depeche Mode,Mar 17 2017,['Pop/Rock'],['Columbia'],74
Detroit House Guests,Adult.,Mar 17 2017,['Electronic'],['Mute US'],65
Hot Thoughts,Spoon,Mar 17 2017,['Pop/Rock'],['Matador'],82
Salutations,Conor Oberst,Mar 17 2017,['Americana'],['Nonesuch'],81
In Mind,Real Estate,Mar 17 2017,['Pop/Rock'],['Domino'],76
The Haze,Pulled Apart by Horses,Mar 17 2017,['Pop/Rock'],['Amnesty International'],78
Room 29,Jarvis Cocker,Mar 17 2017,['Classical'],['Deutsche Grammophon'],70
Paradise [EP],Anohni,Mar 17 2017,['Electronic'],['Secretly Canadian'],80
Obituary,Obituary,Mar 17 2017,['Pop/Rock'],['Relapse Records'],85
Rather You Than Me,Rick Ross,Mar 17 2017,['Rap'],['Epic'],71
Climate Change,Pitbull,Mar 17 2017,['Rap'],['RCA'],64
So Good,Zara Larsson,Mar 17 2017,['Pop'],['Epic'],76
50:50@50,Fairport Convention,Mar 17 2017,['Rock'],['Matty Grooves'],72
Cascades [EP],CFCF,Mar 17 2017,['Electronic'],['Arts & Crafts'],81
Full Closure and No Details,Gabriella Cohen,Mar 17 2017,['Pop/Rock'],['Captured Tracks'],77
Millport,Greg Graffin,Mar 10 2017,['Pop/Rock'],"['Anti', 'Epitaph']",73
Brutalism,Idles,Mar 10 2017,['Pop/Rock'],[],88
"Ripe Dreams, Pipe Dreams",Cameron Avery,Mar 10 2017,['Pop/Rock'],"['Anti', 'Epitaph']",70
Heartworms,The Shins,Mar 10 2017,['Pop/Rock'],['Sony Music'],73
The  Order of Time,Valerie June,Mar 10 2017,['Pop/Rock'],['Concord'],89
Semper Femina,Laura Marling,Mar 10 2017,['Folk'],['More Alarming Records'],85
50 Song Memoir,Magnetic Fields,Mar 10 2017,['Pop/Rock'],['Nonesuch'],86
The Navigator,Hurray for the Riff Raff,Mar 10 2017,['Folk'],['ATO'],83
Condition,Spectres,Mar 10 2017,['Pop/Rock'],['Sonic Cathedral'],81
Godless Prophets & the Migrant Flora,Darkest Hour,Mar 10 2017,['Pop/Rock'],['Southern Lord Records'],74
Everybody Works,Jay Som,Mar 10 2017,['Pop/Rock'],['Polyvinyl'],82
Digging a Tunnel,Sir Was,Mar 10 2017,['Electronic'],['City Slang'],61
Yours Conditionally,Tennis,Mar 10 2017,['Pop/Rock'],['Mutually Detrimental'],72
Providence,Nathan Fake,Mar 10 2017,['Electronic'],['Ninja Tune'],73
Black and White Rainbows,Bush,Mar 10 2017,['Pop/Rock'],['Caroline'],49
